名前,ふりがな,加入日,卒業日,加入期,誕生日,年齢,出身地,都道府県番号,身長,Nobody's fault,ブルームンキス,最終の地下鉄に乗って,なぜ恋をして来なかったんだろう？,Plastic regret,Buddies,半信半疑,BAN,君と僕と洗濯物,偶然の答え,Microscope,思ったよりも寂しくない,それが愛なのね,櫻坂の詩,流れ弾,美しきNervous,Dead end,ソニア,ジャマイカビール,On my way,無言の宇宙,五月雨よ,僕のジレンマ,I'm in,断絶,制服の人魚,車間距離,恋が絶滅する日,摩擦係数,条件反射で泣けてくる,One-way stairs,タイムマシンでYeah!,ずっと 春だったらなあ,桜月,Cool,無念,もしかしたら真実,魂のLiar,夏の近道,その日まで,Start over!,静寂の暴力,風の音,コンビナート,Anthem time,一瞬の馬,ドローン旋回中,承認欲求,マモリビト,確信的クロワッサン,僕たちの La vie en rose,Don't cut in line!,マンホールの蓋の上,隙間風よ,君がサヨナラ言えたって・・・,何歳の頃に戻りたいのか？,油を注せ！,何度　LOVE SONGの歌詞を読み返しただろう,真夏に何か起きるのかしら,心の影絵,恋は向いてない,泣かせて　Hold me tight！
田村 保乃,たむらほの,2018/11/29,,2期,1998/10/21,,大阪府,27,163,Ⅱ,Ⅱ,Ⅱ,Ⅱ,Ⅱ,Ⅱ,Ⅱ,Ⅱ,Ⅱ,Ⅱ,Ⅱ,Ⅱ,Ⅱ,〇,C,C,Ⅰ,,,,Ⅱ,Ⅰ,Ⅰ,,C,,Ⅰ,Ⅰ,Ⅰ,Ⅰ,,,〇,Ⅱ,Ⅱ,,〇,〇,,〇,Ⅰ,,,Ⅱ,,Ⅰ,C,Ⅱ,,,〇,,〇,〇,,Ⅱ,,,,,,〇
藤吉 夏鈴,ふじよしかりん,2018/11/29,,2期,2001/8/29,,大阪府,27,165.1,Ⅱ,Ⅱ,Ⅱ,C,C,Ⅱ,Ⅱ,Ⅱ,Ⅱ,C,C,Ⅱ,Ⅱ,〇,Ⅲ,Ⅲ,,Ⅰ,〇,,,Ⅱ,Ⅱ,,Ⅱ,,Ⅱ,Ⅱ,Ⅰ,Ⅱ,〇,,,Ⅱ,Ⅱ,,〇,〇,,〇,C,,,Ⅱ,,C,Ⅰ,Ⅱ,,,〇,,〇,〇,,Ⅰ,,,,,〇,〇
増本 綺良,ますもときら,2020/2/16,,2期,2001/1/12,,兵庫県,28,158.4,,,,Ⅲ,Ⅲ,,,,,,,Ⅲ,Ⅲ,〇,,,Ⅲ,Ⅲ,,,,,Ⅲ,Ⅱ,,,Ⅲ,,,Ⅲ,,,,Ⅲ,,〇,〇,〇,,〇,Ⅱ,,,C,,Ⅱ,Ⅱ,Ⅲ,,,,,〇,〇,,Ⅲ,,,,,,〇
松田 里奈,まつだりな,2018/11/29,,2期,1999/10/13,,宮崎県,45,159.5,Ⅲ,Ⅲ,Ⅲ,,,,,Ⅲ,Ⅲ,,,,,〇,Ⅲ,Ⅲ,,Ⅰ,,〇,,Ⅲ,Ⅲ,Ⅰ,,,,Ⅲ,Ⅲ,,,,,Ⅲ,,C,〇,〇,,〇,Ⅱ,,,Ⅰ,,Ⅱ,Ⅱ,Ⅲ,,,,,〇,〇,,Ⅲ,,,,,,〇
森田 ひかる,もりたひかる,2018/11/29,,2期,2001/7/10,,福岡県,40,150.5,C,C,C,Ⅱ,Ⅱ,Ⅱ,Ⅱ,C,C,Ⅱ,Ⅱ,Ⅱ,Ⅱ,〇,Ⅰ,Ⅰ,C,,,,Ⅰ,Ⅰ,Ⅰ,,Ⅰ,〇,C,Ⅰ,C,Ⅱ,〇,,,Ⅱ,Ⅱ,,〇,〇,,〇,Ⅰ,,,Ⅰ,,Ⅰ,Ⅰ,C,,,〇,,C,〇,,Ⅰ,,,,〇,,〇
守屋 麗奈,もりやれな,2020/2/16,,2期,2000/1/2,,東京都,13,154,,,,,,Ⅲ,Ⅲ,Ⅲ,Ⅲ,,,,,〇,Ⅲ,Ⅲ,,Ⅰ,,,,Ⅱ,Ⅱ,,Ⅱ,〇,Ⅱ,Ⅱ,Ⅱ,Ⅰ,,,〇,C,Ⅱ,,C,C,,〇,Ⅰ,,,Ⅱ,,Ⅰ,Ⅰ,Ⅱ,,,,,〇,〇,,Ⅱ,,,,,,〇
山﨑 天,やまさきてん,2018/11/29,,2期,2005/9/28,,大阪府,27,168.4,Ⅱ,Ⅱ,Ⅱ,Ⅱ,Ⅱ,C,C,Ⅱ,Ⅱ,Ⅱ,Ⅱ,C,C,〇,Ⅰ,Ⅰ,Ⅰ,,,,Ⅰ,C,Ⅱ,,Ⅰ,〇,Ⅰ,C,C,C,,,,Ⅱ,Ⅱ,,〇,〇,,〇,Ⅰ,,,Ⅰ,,Ⅰ,Ⅰ,Ⅱ,,,C,,〇,〇,,C,,,〇,,,〇
石森 璃花,いしもりりか,2023/1/5,,3期,2002/1/13,,群馬県,10,159,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,,,,,,Ⅱ,ー,,Ⅲ,,,Ⅱ,,,,Ⅰ,Ⅱ,,,,,,,〇,〇,,,,
遠藤 理子,えんどうりこ,2023/1/5,,3期,2006/1/9,,埼玉県,11,155,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,,,,,,Ⅱ,ー,,Ⅱ,,,Ⅱ,,,,Ⅱ,Ⅲ,,,,,,,〇,〇,,,,
小田倉 麗奈,おだくられいな,2023/1/5,,3期,2004/7/25,,東京都,13,163,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,,,,,,Ⅱ,ー,,Ⅲ,,,Ⅱ,,,,Ⅱ,Ⅱ,,,,,,,〇,〇,,,,
小島 凪紗,こじまなぎさ,2023/1/5,,3期,2005/7/7,,長野県,20,165,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,,,,,,Ⅱ,ー,,Ⅰ,,,Ⅲ,,,,C,Ⅲ,,,,,,,〇,〇,〇,,,
谷口 愛季,たにぐちあいり,2023/1/5,,3期,2005/4/12,,山口県,35,151,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,,,,,,C,ー,,Ⅱ,,,Ⅲ,,,Ⅰ,Ⅲ,,,〇,〇,,,Ⅱ,〇,,,〇,,〇
中嶋 優月,なかしまゆづき,2023/1/5,,3期,2003/2/17,,福岡県,40,162,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,,,,,,Ⅱ,ー,,Ⅱ,,,C,,,Ⅲ,Ⅲ,,,,〇,,,Ⅲ,〇,,,,〇,〇
的野 美青,まとのみお,2023/1/5,,3期,2006/11/8,,福岡県,40,166,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,,,,,,Ⅰ,ー,,Ⅲ,,,Ⅰ,,,,Ⅱ,Ⅰ,,C,,,,Ⅲ,〇,,,,,〇
向井 純葉,むかいいとは,2023/1/5,,3期,2006/5/9,,広島県,34,163,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,,,,,,Ⅱ,ー,,Ⅲ,,,Ⅰ,,,,Ⅰ,Ⅲ,,,,,,,〇,〇,〇,,,
村井 優,むらいゆう,2023/1/5,,3期,2004/8/18,,東京都,13,156,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,,,,,,Ⅱ,ー,,Ⅰ,,,Ⅲ,,,Ⅲ,Ⅲ,,,〇,〇,,,Ⅱ,〇,,,,〇,〇
村山 美羽,むらやまみう,2023/1/5,,3期,2005/2/15,,東京都,13,168,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,,,,,,Ⅰ,ー,,Ⅱ,,,Ⅱ,,,,Ⅱ,Ⅰ,,〇,,,,,C,〇,,,,
山下 瞳月,やましたしづき,2023/1/5,,3期,2005/1/22,,京都府,26,152,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,,,,,,Ⅱ,ー,,C,,,Ⅲ,,,Ⅰ,Ⅲ,,,〇,〇,,,Ⅱ,〇,,,〇,,〇
小林 由依,こばやしゆい,2015/8/21,2024/2/1,1期,1999/10/23,,埼玉県,11,161,Ⅰ,Ⅰ,Ⅰ,Ⅰ,Ⅰ,Ⅰ,Ⅰ,Ⅰ,Ⅰ,Ⅰ,Ⅰ,Ⅰ,Ⅰ,〇,Ⅱ,Ⅱ,Ⅱ,,〇,,Ⅱ,Ⅱ,Ⅰ,,Ⅱ,,Ⅱ,Ⅱ,Ⅱ,Ⅱ,,Ⅰ,,Ⅰ,Ⅰ,,〇,〇,,〇,Ⅱ,,〇,,,Ⅱ,Ⅱ,Ⅱ,,,〇,,〇,C,〇,ー,ー,ー,ー,ー,ー,ー
土生 瑞穂,はぶみずほ,2015/8/21,2023/11/25,1期,1997/7/7,,東京都,13,171.6,Ⅲ,Ⅲ,Ⅲ,,,,,Ⅲ,Ⅲ,,,,,〇,Ⅱ,Ⅱ,Ⅱ,,,,Ⅱ,Ⅲ,Ⅱ,C,,,,Ⅲ,Ⅲ,,,Ⅰ,,Ⅲ,,〇,〇,〇,,〇,Ⅱ,,〇,,,Ⅱ,Ⅱ,Ⅲ,,,〇,,〇,〇,ー,ー,ー,ー,ー,ー,ー,ー
関 有美子,せきゆみこ,2018/11/29,2023/4/30,2期,1998/6/29,,福岡県,40,167,,,,Ⅲ,Ⅲ,,,,,Ⅲ,Ⅲ,,,〇,,,,Ⅲ,,,Ⅲ,Ⅲ,Ⅲ,Ⅲ,,,,Ⅲ,Ⅲ,,,,,,Ⅲ,〇,,〇,,〇,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー
菅井 友香,すがいゆうか,2015/8/21,2022/11/9,1期,1995/11/29,,東京都,13,165,Ⅱ,Ⅱ,Ⅱ,Ⅱ,Ⅱ,Ⅱ,Ⅱ,Ⅱ,Ⅱ,Ⅱ,Ⅱ,Ⅱ,Ⅱ,〇,Ⅱ,Ⅱ,Ⅱ,,,,Ⅱ,共通カップリングのみ,Ⅰ,共通カップリングのみ,共通カップリングのみ,共通カップリングのみ,共通カップリングのみ,共通カップリングのみ,Ⅱ,Ⅱ,,C,,ー,ー,ー,ー,ー,ー,C,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー
尾関 梨香,おぜきりか,2015/8/21,2022/9/11,1期,1997/10/7,,神奈川県,14,156.5,Ⅲ,Ⅲ,Ⅲ,,,,,,,Ⅲ,Ⅲ,,,〇,,,,Ⅲ,,,Ⅲ,,Ⅲ,Ⅲ,,,Ⅲ,,,Ⅲ,,Ⅱ,,ー,ー,ー,ー,ー,ー,〇,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー
原田 葵,はらだあおい,2015/8/21,2022/6/11,1期,2000/5/7,,東京都,13,156,,,,Ⅲ,Ⅲ,,,,,Ⅲ,Ⅲ,,,〇,,,Ⅲ,Ⅱ,,,,,Ⅱ,Ⅱ,,,Ⅲ,,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー
渡邉 理佐,わたなべりさ,2015/8/21,2022/5/22,1期,1998/7/27,,茨城県,8,167,Ⅰ,Ⅰ,Ⅰ,Ⅰ,Ⅰ,Ⅰ,Ⅰ,Ⅰ,Ⅰ,Ⅰ,Ⅰ,Ⅰ,Ⅰ,〇,Ⅱ,Ⅱ,Ⅱ,,,,C,Ⅱ,C,表題曲・共通カップリングのみ,表題曲・共通カップリングのみ,表題曲・共通カップリングのみ,表題曲・共通カップリングのみ,表題曲・共通カップリングのみ,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー
守屋 茜,もりやあかね,2015/8/21,2021/11/29,1期,1997/11/12,,宮城県,4,163.5,Ⅲ,Ⅲ,Ⅲ,,,,,,,,,Ⅲ,Ⅲ,〇,,,,Ⅲ,,,Ⅲ,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー
渡辺 梨加,わたなべりか,2015/8/21,2021/11/29,1期,1995/5/16,,茨城県,8,166.5,,,,Ⅲ,Ⅲ,,,Ⅲ,Ⅲ,,,,,〇,Ⅱ,Ⅱ,Ⅱ,,,,Ⅱ,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー
松平 璃子,まつだいらりこ,2018/11/29,2021/3/14,2期,1998/5/5,,東京都,13,169,,,,,,Ⅲ,Ⅲ,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー,ー
